Stn_ID,River,Location,Area_km2,Mon_Period,Obs_Avail,Start,End
54038,Tanat,Llanyblodwel,229,1973-2012,Y,1973,2012
54057,Severn,Haw Bridge,9895,1971-2012,N,1971,2012
55002,Wye,Belmont,1895.9,1935-2012,N,1935,2012
55003,Lugg,Lugwardine,885.8,1939-2012,N,1939,2012
55004,Irfon,Abernant,72.8,1937-1982,N,1937,1982
55007,Wye,Erwood,1282.1,1937-2012,N,1937,2012
55029,Monnow,Grosmont,354,1948-2012,Y,1948,2012
56002,Ebbw,Rhiwderin,216.5,1957-2012,N,1957,2012
56003,Honddu,The Forge Brecon,62.1,1963-1984,N,1963,1984
56005,Lwyd,Ponthir,98.1,1966-1998,N,1966,1998
56007,Senni,Pont-Hen-Hafod,19.9,1967-2012,Y,1967,2012
56013,Yscir,Pont-Ar-Yscir,62.8,1972-2012,Y,1972,2012
56019,Ebbw,Aberbeeg,71.7,1984-2012,N,1984,2012
57004,Cynon,Abercynon,106,1957-2012,Y,1957,2012
58005,Ogmore,Brynmenyn,74.3,1970-2012,N,1970,2012
58007,Llynfi,Coytrahen,50.2,1970-2012,N,1970,2012
58008,Dulais,Cilfrew,43,1971-2012,N,1971,2012
58012,Afan,Marcroft Weir,87.8,1978-2012,N,1978,2012
59001,Tawe,Ynystanglws,227.7,1957-2012,Y,1957,2012
60002,Cothi,Felin Mynachdy,297.8,1961-2012,Y,1961,2012
60004,Dewi Fawr,Glasfryn Ford,36.7,1969-2012,N,1969,2012
60006,Gwili,Glangwili,129.5,1968-2012,Y,1968,2012
60009,Sawdde,Felin-y-cwm,77.5,1970-2012,N,1970,2012
61001,Western Cleddau,Prendergast Mill,197.6,1965-2011,N,1965,2011
62001,Teifi,Glanteifi,893.6,1959-2012,Y,1959,2012
62002,Teifi,Llanfair,510,1971-2012,N,1971,2012
63001,Ystwyth,Pont Llolwyn,169.6,1963-2012,Y,1963,2012
63004,Ystwyth,Cwm Ystwyth,32.1,1984-2012,Y,1984,2012
64001,Dyfi,Dyfi Bridge,471.3,1962-2012,Y,1962,2012
64002,Dysynni,Pont-y-Garth,75.1,1966-2012,N,1966,2012
65001,Glaslyn,Beddgelert,68.6,1961-2012,Y,1961,2012
65006,Seiont,Peblig Mill,74.4,1976-2012,N,1976,2012
66011,Conwy,Cwmlanerch,344.5,1964-2012,N,1964,2012
67005,Ceiriog,Brynkinalt Weir,113.7,1956-2012,Y,1956,2012
67010,Gelyn,Cynefail,13.1,1966-2012,N,1966,2012
67013,Hirnant,Plas Rhiwedog,33.9,1967-1976,N,1967,1976
68001,Weaver,Ashbrook,622,1937-2012,Y,1937,2012
68003,Dane,Rudheath,407.1,1949-2012,Y,1949,2012
68005,Weaver,Audlem,207,1953-2012,Y,1953,2012
69042,Ding Brook,Naden Reservoir,2.2,1982-2003,N,1982,2003
71001,Ribble,Samlesbury,1145,1960-2012,Y,1960,2012
71006,Ribble,Henthorn,456,1968-2012,Y,1968,2012
71009,Ribble,New Jumbles Rock,1053,1979-2012,N,1979,2012
72004,Lune,Caton,983,1959-2012,Y,1959,2012
72009,Wenning,Wennington,142,1976-2012,N,1976,2012
72014,Conder,Galgate,28.5,1976-2012,Y,1976,2012
72015,Lune,Lunes Bridge,141.5,1979-2012,N,1979,2012
73003,Kent,Burneside,73.6,1981-1999,N,1981,1999
73005,Kent,Sedgwick,209,1968-2012,Y,1968,2012
73006,Cunsey Beck,Eel House Bridge,18.7,1976-2010,N,1976,2010
73009,Sprint,Sprint Mill,34.6,1976-2012,Y,1976,2012
73011,Mint,Mint Bridge,65.8,1970-2012,N,1970,2012
73013,Rothay,Miller Bridge House,64,1976-2012,N,1976,2012
73014,Brathay,Jeffy Knotts,57.4,1976-2012,N,1976,2012
74001,Duddon,Duddon Hall,85.7,1968-2012,Y,1968,2012
74005,Ehen,Braystones,125.5,1974-2012,Y,1974,2012
74006,Calder,Calder Hall,44.8,1964-2012,N,1964,2012
74007,Esk,Cropple How,70.2,1976-2012,Y,1976,2012
75017,Ellen,Bullgill,96,1976-2012,Y,1976,2012
76005,Eden,Temple Sowerby,616.4,1964-2012,Y,1964,2012
76007,Eden,Sheepmount,2286.5,1967-2012,Y,1967,2012
76008,Irthing,Greenholme,334.6,1967-2012,N,1967,2012
77002,Esk,Canonbie,495,1962-2012,Y,1962,2012
77003,Liddel Water,Rowanburnfoot,319,1973-2012,Y,1973,2012
77004,Kirtle Water,Mossknowe,72,1979-2012,Y,1979,2012
78003,Annan,Brydekirk,925,1967-2012,Y,1967,2012
78005,Kinnel Water,Bridgemuir,229,1979-2012,N,1979,2012
78006,Annan,Woodfoot,217,1983-2012,N,1983,2012
79002,Nith,Friars Carse,799,1957-2012,Y,1957,2012
79003,Nith,Hall Bridge,155,1959-2012,Y,1959,2012
79006,Nith,Drumlanrig,471,1967-2012,Y,1967,2012
80005,Dargall Lane,Loch Dee,2.1,1983-2012,N,1983,2012
81002,Cree,Newton Stewart,368,1963-2012,Y,1963,2012
81007,Water of Fleet,Rusko,77,1988-2012,N,1988,2012
82001,Girvan,Robstone,245.5,1963-2012,Y,1963,2012
83005,Irvine,Shewalton,380.7,1972-2011,Y,1972,2011
83007,Lugton Water,Eglinton Castle,54.6,1977-2012,N,1977,2012
83010,Irvine,Newmilns,72.8,1976-2012,Y,1976,2012
83011,Ayr,Wellwood,60,1991-2010,N,1991,2010
84003,Clyde,Hazelbank,1092.9,1956-2012,N,1956,2012
84004,Clyde,Sills of Clyde,741.8,1957-2012,N,1957,2012
84005,Clyde,Blairston,1704.2,1958-2012,Y,1958,2012
84012,White Cart Water,Hawkhead,234.9,1963-2012,N,1963,2012
84013,Clyde,Daldowie,1903.1,1963-2012,N,1963,2012
84015,Kelvin,Dryfield,235.4,1960-1999,N,1960,1999
84016,Luggie Water,Condorrat,33.9,1966-2012,Y,1966,2012
84018,Clyde,Tulliford Mill,932.6,1969-2012,N,1969,2012
84020,Glazert Water,Milton of Campsie,51.9,1968-2012,N,1968,2012
84022,Duneaton,Maidencots,110.3,1966-2012,Y,1966,2012
84026,Allander Water,Milngavie,32.8,1974-2012,N,1974,2012
84029,Cander Water,Candermill,24.5,1975-2012,N,1975,2012
84037,Douglas Water,Happendon,97,1989-2012,N,1989,2012
85002,Endrick Water,Gaidrew,219.9,1963-2012,N,1963,2012
85003,Falloch,Glen Falloch,80.3,1970-2012,Y,1970,2012
89003,Orchy,Glen Orchy,251.2,1977-2012,Y,1977,2012
89004,Strae,Glen Strae,36.2,1978-2012,N,1978,2012
89005,Lochy,Inverlochy,47.7,1978-2012,N,1978,2012
89008,Eas Daimh,Eas Daimh,4.5,1981-2012,N,1981,2012
89009,Eas a' Ghaill,Succoth,9.7,1981-1993,N,1981,1993
90003,Nevis,Claggan,69.2,1982-2012,Y,1982,2012
93001,Carron,New Kelso,137.8,1979-2012,Y,1979,2012
94001,Ewe,Poolewe,441.1,1970-2012,Y,1970,2012
95001,Inver,Little Assynt,137.5,1977-2012,Y,1977,2012
97002,Thurso,Halkirk,412.8,1972-2012,Y,1972,2012
